code,upc,desc,size,case,nitem,upc1,type
27,3410000004,MILLER HIGH LIFE BEE,6/12 O,4,9450400,341,1
27,3410000007,MILLER HIGH LIFE BEE,6/16 O,4,9451550,341,1
27,3410000008,MILLER HIGH LIFE N.R,32 OZ,12,9450700,341,1
27,3410000031,MILLER HIGH LIFE N.R,32 OZ,12,9450700,341,1
27,3410000091,MAGNUM MALT LIQUOR,40 OZ,12,9491570,341,4
27,3410000104,MEISTER BRAU BEER,6/12 O,4,9443000,341,5
27,3410000129,MILLER RED DOG CANS,6/12 O,4,9452220,341,6
27,3410000144,RED DOG 22OZ NR,22 OZ,15,9452270,341,6
27,3410000154,MILWAUKEE'S BEST BEE,6/12 O,4,9451800,341,3
28,3410000304,MILLER SHARP'S N/A C,6/12OZ,4,9428820,341,7
27,3410000354,MILLER LITE BEER,6/12 O,4,9450800,341,2
27,3410000357,MILLER LITE BEER,6/16 O,4,9451600,341,2
27,3410000358,MILLER LITE BEER N.R,32 OZ,12,9451300,341,2
27,3410000359,MILLER LITE 40OZ NR,40 OZ,12,9451320,341,2
27,3410000369,MILLER LITE 22OZ NR,22 OZ,15,9451330,341,2
27,3410000382,MILLER LITE BEER N.R,32 OZ,12,9451300,341,2
27,3410000544,LEINENKUGEL RED,22 OZ,15,9491650,341,8
27,3410000554,MILLER GENUINE DRAFT,6/12 O,4,9450250,341,9
27,3410000559,MILLER GENUINE DRAFT,40 OZ,12,9450230,341,9
27,3410000569,MILLER GENUINE DRAFT,22 OZ,15,9450360,341,9
27,3410000581,MILLER GENUINE DRAFT,32 OZ,12,9450240,341,9
27,3410000654,MILWAUKEE'S BEST LIG,6/12 O,4,9451850,341,3
27,3410000769,LEINENKUGEL LIMITED,22 OZ,15,9491670,341,8
27,3410000879,ICEHOUSE CAN,6/12 O,4,9450820,341,10
27,3410000894,ICEHOUSE 22OX NR,22 OZ,15,9450840,341,10
27,3410000904,MILLER GENUINE DRAFT,6/12 O,4,9450260,341,9
27,3410001225,MILLER HIGH LIFE N.R,6/12 O,4,9450500,341,1
27,3410001306,MILLER HIGH LIFE BEE,24/12O,1,9451450,341,1
27,3410001341,MILLER HIGH LIFE PAR,30/12O,1,9451440,341,1
27,3410001347,MILLER HIGH LIFE PAR,30/12O,1,9451440,341,1
27,3410001505,MILLER HIGH LIFE LNN,6/12 O,4,9450450,341,1
27,3410001518,MILLER REG BEER,8/7OZ,6,9451400,341,11
27,3410001525,MILLER HIGH LIFE N.R,6/12 O,4,9450500,341,1
27,3410001528,MILLER HIGH LIFE N.R,12/12O,2,9450650,341,1
27,3410001579,MILLER HIGH LIFE NR,6/7 O,4,9451420,341,1
27,3410001602,MILLER HIGH LIFE BEE,12/12O,2,9450600,341,1
27,3410007306,MILWAUKEE'S BEST LIG,24/12O,1,9451950,341,3
27,3410007602,MILWAUKEE'S BEST LIG,12/12O,2,9451910,341,3
28,3410010505,MILLER SHARP'S N/A L,6/12OZ,4,9428850,341,7
28,3410010602,SHARPS NON-ALCOHOLIC,12/12O,2,9491520,341,7
27,3410015304,MILLER GENUINE DRAFT,6/12 O,4,9450260,341,9
27,3410015306,MILLER GENUINE DRFT,24/12O,1,9450340,341,9
27,3410015505,MILLER GEN DRFT LT L,6/12 O,4,9450580,341,9
27,3410015525,MILLER GENUINE DRFT,6/12 O,4,9451370,341,9
27,3410015528,MILLER GENUINE DRFT,12/12O,2,9451380,341,9
27,3410015579,MILLER GEN DRFT LT L,6/7 O,4,9451360,341,9
27,3410015602,MILLER GENUINE DRAFT,12/12O,2,9450310,341,9
27,3410016505,MILLER RESERVE LT LN,6/12 O,4,9452100,341,12
27,3410017306,MILLER GENUINE DRAFT,24/12O,1,9450330,341,9
27,3410017505,MILLER GEN DRFT LNNR,6/12 O,4,9450570,341,9
